experiment_task,repetition,applicant_id,condition,model_explanation,true_top_features,human_faithfulness_0_to_2,human_clarity_0_to_2,human_no_unsupported_claims_0_to_2,reviewer_notes
explanation,1,SGC0340,customer_prediction_only,"The supplied model output reports a bad-credit probability of 0.0033439220. Because this is below the 0.50 classification threshold, the resulting class is 0, labeled good_credit. This is a model prediction, not confirmation of the applicant's future credit outcome. A feature-level explanation is not supported: although the applicant's raw values are provided, the fitted coefficients, intercept, feature encoding, and exact transformed values are absent. Therefore, the strongest contributing features and their directions cannot be identified without making unsupported claims.","[""purpose=new_car"", ""status=checking_balance_at_least_200_DM_or_salary_account"", ""savings=savings_500_to_below_1000_DM"", ""employment_duration=employed_4_to_below_7_years"", ""personal_status_sex=male_married_or_widowed""]",,,,
explanation,1,SGC0340,textual_description,"The supplied model output estimates a bad-credit probability of 0.0033439220. Because this is below the 0.50 classification threshold, the model assigned class 0, labeled good_credit. However, the supplied evidence does not show why particular applicant features produced this low probability: the fitted intercept, coefficients, exact transformed applicant values, and applicant-specific contributions are all missing. Therefore, no individual feature can be identified as increasing or decreasing the model's estimated bad-credit risk. This prediction is a model estimate, not confirmation of the applicant's future credit outcome.","[""purpose=new_car"", ""status=checking_balance_at_least_200_DM_or_salary_account"", ""savings=savings_500_to_below_1000_DM"", ""employment_duration=employed_4_to_below_7_years"", ""personal_status_sex=male_married_or_widowed""]",,,,
explanation,1,SGC0340,training_code_only,"The reported bad-credit probability of 0.003343922 corresponds to a logit of approximately -5.697261. Because this probability is below the 0.50 classification threshold, the reconstructed class is 0 (good credit risk). However, the supplied information does not support identifying which applicant features contributed most strongly or whether any specific feature increased or decreased the model's bad-credit log-odds. Such statements would require the fitted intercept, coefficients, exact StandardScaler statistics, and fitted OneHotEncoder category structure. The output is a model prediction, not confirmation of the applicant's future credit outcome.","[""purpose=new_car"", ""status=checking_balance_at_least_200_DM_or_salary_account"", ""savings=savings_500_to_below_1000_DM"", ""employment_duration=employed_4_to_below_7_years"", ""personal_status_sex=male_married_or_widowed""]",,,,
explanation,1,SGC0340,learned_parameters,"Using the supplied intercept, coefficients, and transformed applicant values, the reconstructed bad-credit logit is -5.697261381 and the corresponding probability is 0.003343922 (about 0.3344%). This is below the 0.50 threshold, so the reconstructed class is 0, labeled good_credit. The strongest applicant-specific contributions lowering bad-credit log-odds were purpose=new_car (-1.5925), status=checking_balance_at_least_200_DM_or_salary_account (-1.5421), savings=savings_500_to_below_1000_DM (-1.1394), employment_duration=employed_4_to_below_7_years (-0.8747), and personal_status_sex=male_married_or_widowed (-0.6177). Some active features moved in the opposite direction, including job=skilled_employee_or_official (+0.5538), present_residence=residence_1_to_below_4_years (+0.4972), installment_rate=installment_rate_20_to_below_25_percent (+0.4637), and property=car_or_other_property (+0.4572), but these did not outweigh the combined negative contributions. These are model associations relative to the encoded reference categories, not causal effects, and the prediction is not a confirmed future outcome.","[""purpose=new_car"", ""status=checking_balance_at_least_200_DM_or_salary_account"", ""savings=savings_500_to_below_1000_DM"", ""employment_duration=employed_4_to_below_7_years"", ""personal_status_sex=male_married_or_widowed""]",,,,
explanation,1,SGC0340,full_structured_package,"Using the supplied intercept and feature contributions, the reconstructed bad-credit logit is -5.697261380799041, corresponding to a bad-credit probability of 0.0033439220106291564 (about 0.334%). Because this is below the 0.50 classification threshold, the model predicts class 0, labeled good_credit. The five largest absolute applicant-specific contributions all lowered the modeled bad-credit log-odds: purpose=new_car (-1.5925), status=checking_balance_at_least_200_DM_or_salary_account (-1.5421), savings=savings_500_to_below_1000_DM (-1.1394), employment_duration=employed_4_to_below_7_years (-0.8747), and personal_status_sex=male_married_or_widowed (-0.6177). Other supplied features include contributions in both directions; the reported logit reflects the intercept plus all feature contributions, not only these five.","[""purpose=new_car"", ""status=checking_balance_at_least_200_DM_or_salary_account"", ""savings=savings_500_to_below_1000_DM"", ""employment_duration=employed_4_to_below_7_years"", ""personal_status_sex=male_married_or_widowed""]",,,,
explanation,1,SGC0159,customer_prediction_only,"The supplied model output reports a bad-credit probability of 0.9597154965. Because this exceeds the 0.50 classification threshold, the model assigned class 1, labeled bad_credit. However, the supplied information does not include the fitted intercept, feature coefficients, encoding or transformation details, or applicant-specific feature contributions. Therefore, it is not possible to determine which applicant features most strongly moved the model's bad-credit log-odds or to independently reconstruct the logit, probability, and class. The prediction is a model estimate, not confirmation that the applicant will have bad credit.","[""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""duration_standardized"", ""property=real_estate"", ""job=skilled_employee_or_official""]",,,,
explanation,1,SGC0159,textual_description,"The reported bad-credit probability is 0.9597154965. Because this exceeds the 0.50 classification threshold, the model assigns class 1 (bad_credit). This is a model estimate, not confirmation that the applicant will have a bad credit outcome. A feature-level explanation cannot be supported: the fitted intercept, coefficients, transformed applicant values, and applicant-specific contributions were not supplied, so none of the applicant's features can be identified as increasing or decreasing the model's bad-credit log-odds.","[""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""duration_standardized"", ""property=real_estate"", ""job=skilled_employee_or_official""]",,,,
explanation,1,SGC0159,training_code_only,"The supplied probability corresponds to a bad-credit logit of approximately 3.170671. Because the bad-credit probability of 0.9597154965 exceeds the 0.50 classification threshold, the model assigned class 1 (bad_credit). However, the supplied information does not support identifying which applicant features most strongly moved the prediction or their directions. Feature-level effects cannot be reconstructed without the fitted coefficients, intercept, numeric scaling statistics, and fitted one-hot category ordering. This is a model prediction, not confirmation that the applicant will have bad credit.","[""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""duration_standardized"", ""property=real_estate"", ""job=skilled_employee_or_official""]",,,,
explanation,1,SGC0159,learned_parameters,"Using the supplied intercept, coefficients, and transformed applicant values, the reconstructed logit is 3.1706700158 and the corresponding bad-credit probability is 0.9597154965. This exceeds the 0.50 threshold, so the reconstructed class is 1 (bad credit risk). The strongest applicant-specific increases in bad-credit log-odds are foreign_worker=no (+0.9246), installment_rate=installment_rate_below_20_percent (+0.8178), duration_standardized (+0.6496), property=real_estate (+0.6072), and job=skilled_employee_or_official (+0.5538). Countervailing contributions include other_installment_plans=none (-0.4805), purpose=retraining (-0.4704), employment_duration=employed_at_least_7_years (-0.2910), status=checking_balance_below_0_DM (-0.2317), and people_liable=zero_to_two_people_liable (-0.2105). Overall, the positive contributions outweighed the negative contributions and the intercept, producing the class-1 prediction. These are fitted model associations, not causal effects, and the prediction is not confirmation of a future outcome.","[""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""duration_standardized"", ""property=real_estate"", ""job=skilled_employee_or_official""]",,,,
explanation,1,SGC0159,full_structured_package,"Starting from the intercept of -0.2895 and summing all supplied applicant-specific contributions gives a logit of 3.1706700156. The strongest contributions by absolute magnitude were foreign_worker=no (+0.9246), installment_rate=installment_rate_below_20_percent (+0.8178), duration_standardized (+0.6496), property=real_estate (+0.6072), and job=skilled_employee_or_official (+0.5538); each increased the model's bad-credit log-odds. Other supplied features included both increasing and decreasing contributions. Applying the sigmoid function produces a bad-credit probability of 0.9597154965. Because this exceeds the 0.50 threshold, the reconstructed class is 1, labeled bad_credit. These are fitted model associations and applicant-specific score contributions, not claims that the features caused the prediction outcome or that bad credit will certainly occur.","[""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""duration_standardized"", ""property=real_estate"", ""job=skilled_employee_or_official""]",,,,
explanation,1,SGC0349,customer_prediction_only,"The supplied model output assigns a bad-credit probability of 0.5004630941. Because this is slightly above the 0.50 classification threshold, the resulting class is 1, labeled bad_credit. However, the supplied information does not include the fitted intercept, feature coefficients, preprocessing or encoding details, or transformed applicant values. Therefore, it is not possible to determine which applicant features contributed most strongly, their contribution directions, or to independently reconstruct the model's logit and probability. The prediction is a model estimate, not confirmation that the applicant will have bad credit.","[""credit_history=all_credits_at_this_bank_paid_back_duly"", ""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""personal_status_sex=male_married_or_widowed"", ""number_credits=two_or_three_credits""]",,,,
explanation,1,SGC0349,textual_description,"The reported bad-credit probability of 0.5004630941 corresponds to an approximate logit of 0.00185237693. Because the probability is slightly above the 0.50 classification threshold, the model assigned class 1 (bad_credit). The supplied information does not include the intercept, fitted coefficients, exact transformed applicant values, or applicant-specific contributions, so it is not possible to identify which features drove the score or whether any particular feature increased or decreased the model's bad-credit log-odds. This is a model estimate, not confirmation that the applicant will have bad credit.","[""credit_history=all_credits_at_this_bank_paid_back_duly"", ""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""personal_status_sex=male_married_or_widowed"", ""number_credits=two_or_three_credits""]",,,,
explanation,1,SGC0349,training_code_only,"The supplied probability corresponds to a bad-credit logit of approximately 0.0018523769. Because the bad-credit probability, 0.5004630941, is slightly above the 0.50 classification threshold, the model assigned class 1 (bad_credit). However, the supplied information does not support an applicant-level feature attribution: it is not possible to identify which features most increased or decreased the model's bad-credit log-odds. This is a model prediction, not confirmation that the applicant will have a bad credit outcome.","[""credit_history=all_credits_at_this_bank_paid_back_duly"", ""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""personal_status_sex=male_married_or_widowed"", ""number_credits=two_or_three_credits""]",,,,
explanation,1,SGC0349,learned_parameters,"Using the supplied intercept, coefficients, and transformed applicant values, the model's logit reconstructs to approximately 0.00185238, corresponding to a bad-credit probability of 0.5004630941. The strongest decreasing contributions were credit_history=all_credits_at_this_bank_paid_back_duly (-1.330323) and personal_status_sex=male_married_or_widowed (-0.617662). The strongest increasing contributions were foreign_worker=no (+0.924604), installment_rate=installment_rate_below_20_percent (+0.817823), and number_credits=two_or_three_credits (+0.568198). These and the remaining contributions nearly offset one another, leaving the probability only about 0.000463 above the 0.50 threshold. Therefore, the model assigned class 1 (bad credit risk). This is a model prediction based on fitted associations, not confirmation that the applicant will have bad credit.","[""credit_history=all_credits_at_this_bank_paid_back_duly"", ""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""personal_status_sex=male_married_or_widowed"", ""number_credits=two_or_three_credits""]",,,,
explanation,1,SGC0349,full_structured_package,"The supplied intercept and all feature contributions reconstruct a bad-credit logit of 0.0018523769 and probability of 0.5004630941. Because this probability is just above the 0.50 threshold, the model assigned class 1, labeled bad_credit. The strongest contribution decreasing the modeled bad-credit log-odds was credit_history=all_credits_at_this_bank_paid_back_duly (-1.330323). personal_status_sex=male_married_or_widowed also decreased them (-0.617662). The strongest contributions increasing the bad-credit log-odds were foreign_worker=no (+0.924604), installment_rate=installment_rate_below_20_percent (+0.817823), and number_credits=two_or_three_credits (+0.568198). These and the remaining supplied contributions nearly offset one another, leaving the probability only 0.000463 above the decision threshold. These are fitted model associations, not causal effects, and the prediction is not confirmation that the applicant will have bad credit.","[""credit_history=all_credits_at_this_bank_paid_back_duly"", ""foreign_worker=no"", ""installment_rate=installment_rate_below_20_percent"", ""personal_status_sex=male_married_or_widowed"", ""number_credits=two_or_three_credits""]",,,,
